0 passi ; Deddy
A un passo dalla luna ; Rocco Hunt & Ana Mena
Afterglow ; Ed Sheeran
Baby ; Sfera Ebbasta & J Balvin
Bad habits ; Ed Sheeran
Beautiful mistakes ; Maroon 5 & Megan Thee Stallion
Bed ; Joel Corry & Raye & David Guetta
Beggin ; Maneskin
Blu celeste ; Blanco
Bongo cha cha cha ; Goodboys
Cambia un uomo ; Marco Mengoni
Chiamami per nome ; Francesca Michielin & Fedez
Cold heart [pnau remix] ; Elton John & Dua Lipa
Come nelle canzoni ; Coez
Crazy love ; Marracash
Destri ; Gazzelle
Dieci ; Annalisa
Don''t go yet ; Camila Cabello
Dopamine ; Purple Disco Machine feat. Eyelar
Drivers license ; Olivia Rodrigo
Easy on me ; Adele
Ferma a guardare ; Ernia feat. Pinguini Tattici Nucleari
Fiamme negli occhi ; Coma_Cose
Finchè non mi seppelliscono ; Blanco
Fireworks ; Purple Disco Machine feat. Moss Kena & Knocks
Follow you ; Imagine Dragons
Friday [dopamine re-edit] ; Riton & Nightcrawlers feat. Mufasa & Hypeman
Glicine ; Noemi
Hecha pa'' mí ; Boza
Higher power ; Coldplay
I wanna be your slave ; Maneskin
Iko iko ; Justin Wellington feat. Small Jam
Industry baby ; Lil Nas X & Jack Harlow
Inuyasha ; Mahmood
Kumite ; Salmo
La canzone nostra ; Mace & Blanco & Salmo
La genesi del tuo colore ; Irama
La più bella ; Mecna & CoCo
Lady ; Sangiovanni
Las Vegas ; Tancredi
Leave the door open ; Bruno Mars & Anderson .Paak & Silk Sonic
Loca ; Aka 7even
Love again ; Dua Lipa
Love tonight ; Shouse
L''ultima notte ; Ariete
Luna piena ; Rkomi & Irama & Shablo
Ma stasera ; Marco Mengoni
Magari no ; Tommaso Paradiso
Makumba ; Noemi & Carl Brave
Malibù ; Sangiovanni
Mammamia ; Maneskin
Marea ; Madame
Meglio del cinema ; Fedez
Melodia proibita ; Irama
Mi fai impazzire ; Blanco & Sfera Ebbasta
Mi manchi ; Aka 7even
Mille ; Fedez & Achille Lauro & Orietta Berti
Mohicani ; BoomDaBash & Baby K
Montero (Call me by your name) ; Lil Nas X
Movimento lento ; Annalisa feat. Federico Rossi
Musica leggerissima ; Colapesce & Dimartino
My universe ; Coldplay & BTS
Never going home ; Kungs
Notti in bianco ; Blanco
Nuovo range ; Rkomi & Sfera Ebbasta & Junior K
Paradise ; Meduza feat. Dermot Kennedy
Paraocchi ; Blanco
Partire da te ; Rkomi
Pastello bianco ; Pinguini Tattici Nucleari
Peaches ; Justin Bieber feat. Daniel Caesar & Giveon
Pepas ; Farruko
Pezzo di cuore ; Emma & Alessandra Amoroso
Pistolero ; Elettra Lamborghini
Rubini ; Mahmood & Elisa
Run ; OneRepublic
Salsa ; J-Ax & Jake La Furia
Save your tears ; The Weeknd
Scooby Doo ; Pinguini Tattici Nucleari
Scrivile scemo ; Pinguini Tattici Nucleari
Shimmy Shimmy ; Takagi & Ketra & Giusy Ferreri
Shivers ; Ed Sheeran
Siamo qui ; Vasco Rossi
Stay ; The Kid Laroi & Justin Bieber
Superclassico ; Ernia
Take my breath ; The Weeknd
Ti raggiungerò ; Fred De Palma
Tu mi hai capito ; Madame & Sfera Ebbasta
Tutta la notte ; Sangiovanni
Un altro ballo ; Fred De Palma feat. Anitta
Un bacio all''improvviso ; Rocco Hunt & Ana Mena
Una canzone d''amore buttata via ; Vasco Rossi
uNa DiReZioNe giUsTa ; Yungest Moonstar & Neffa & tha Supreme
Venere e Marte ; Takagi e Ketra & Marco Mengoni & Frah Quintale
Vent''anni ; Maneskin
Vertigine ; Elodie
Voce ; Madame
We are the people ; Martin Garrix feat. Bono & the Edge
We could be dancing ; Bob Sinclar feat. Molly Hammar
Your love (9 PM) ; ATB & Topic & A7S
Zitti e buoni ; Maneskin